0,1,2,3,4
PG-13,"{'name': 'Michael Dougherty', 'url': '/person/11012-michael-dougherty'}","[{'name': 'Kyle Chandler', 'url': '/person/3497-kyle-chandler'}, {'name': 'Vera Farmiga', 'url': '/person/21657-vera-farmiga'}, {'name': 'Millie Bobby Brown', 'url': '/person/1356210-millie-bobby-brown'}, {'name': 'Ken Watanabe', 'url': '/person/3899-ken-watanabe'}, {'name': 'Zhang Ziyi', 'url': '/person/1339-zhang-ziyi'}, {'name': 'Bradley Whitford', 'url': '/person/11367-bradley-whitford'}, {'name': 'Sally Hawkins', 'url': '/person/39658-sally-hawkins'}, {'name': 'Charles Dance', 'url': '/person/4391-charles-dance'}]","$170,000,000.00","[{'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}]"
PG,"{'name': 'Troy Quane', 'url': '/person/587699-troy-quane'}","[{'name': 'Will Smith', 'url': '/person/2888-will-smith'}, {'name': 'Tom Holland', 'url': '/person/1136406-tom-holland'}, {'name': 'Rachel Brosnahan', 'url': '/person/993774-rachel-brosnahan'}, {'name': 'Toru Uchikado', 'url': '/person/2185973-toru-uchikado'}, {'name': 'Reba McEntire', 'url': '/person/21986-reba-mcentire'}, {'name': 'Mark Ronson', 'url': '/person/77071-mark-ronson'}, {'name': 'Masi Oka', 'url': '/person/17273-masi-oka'}, {'name': 'Toshiya Agata', 'url': '/person/552266-toshiya-agata'}]","$100,000,000.00","[{'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}]"
PG,"{'name': 'Rob Letterman', 'url': '/person/65630-rob-letterman'}","[{'name': 'Ryan Reynolds', 'url': '/person/10859-ryan-reynolds'}, {'name': 'Justice Smith', 'url': '/person/1029934-justice-smith'}, {'name': 'Kathryn Newton', 'url': '/person/221192-kathryn-newton'}, {'name': 'Suki Waterhouse', 'url': '/person/1325961-suki-waterhouse'}, {'name': 'Omar Chaparro', 'url': '/person/1134885-omar-chaparro'}, {'name': 'Chris Geere', 'url': '/person/62879-chris-geere'}, {'name': 'Ken Watanabe', 'url': '/person/3899-ken-watanabe'}, {'name': 'Bill Nighy', 'url': '/person/2440-bill-nighy'}]","$150,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
PG-13,"{'name': 'David Michelinie', 'url': '/person/1195200-david-michelinie'}","[{'name': 'Tom Hardy', 'url': '/person/2524-tom-hardy'}, {'name': 'Michelle Williams', 'url': '/person/1812-michelle-williams'}, {'name': 'Riz Ahmed', 'url': '/person/53240-riz-ahmed'}, {'name': 'Scott Haze', 'url': '/person/87954-scott-haze'}, {'name': 'Reid Scott', 'url': '/person/81316-reid-scott'}, {'name': 'Jenny Slate', 'url': '/person/213001-jenny-slate'}, {'name': 'Melora Walters', 'url': '/person/4766-melora-walters'}, {'name': 'Woody Harrelson', 'url': '/person/57755-woody-harrelson'}]","$116,000,000.00","[{'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}]"
PG,"{'name': 'Linda Woolverton', 'url': '/person/38792-linda-woolverton'}","[{'name': 'Angelina Jolie', 'url': '/person/11701-angelina-jolie'}, {'name': 'Elle Fanning', 'url': '/person/18050-elle-fanning'}, {'name': 'Harris Dickinson', 'url': '/person/1716493-harris-dickinson'}, {'name': 'Michelle Pfeiffer', 'url': '/person/1160-michelle-pfeiffer'}, {'name': 'Sam Riley', 'url': '/person/32987-sam-riley'}, {'name': 'Chiwetel Ejiofor', 'url': '/person/5294-chiwetel-ejiofor'}, {'name': 'Ed Skrein', 'url': '/person/1047649-ed-skrein'}, {'name': 'Robert Lindsay', 'url': '/person/71450-robert-lindsay'}]","$185,000,000.00","[{'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}]"
R,"{'name': 'Luca Guadagnino', 'url': '/person/78160-luca-guadagnino'}","[{'name': 'Armie Hammer', 'url': '/person/53807-armie-hammer'}, {'name': 'Timothée Chalamet', 'url': '/person/1190668-timothee-chalamet'}, {'name': 'Michael Stuhlbarg', 'url': '/person/72873-michael-stuhlbarg'}, {'name': 'Amira Casar', 'url': '/person/20577-amira-casar'}, {'name': 'Esther Garrel', 'url': '/person/935096-esther-garrel'}, {'name': 'Victoire Du Bois', 'url': '/person/1592949-victoire-du-bois'}, {'name': 'Vanda Capriolo', 'url': '/person/1789600-vanda-capriolo'}, {'name': 'Antonio Rimoldi', 'url': '/person/1789602-antonio-rimoldi'}]","$4,000,000.00","[{'type': 'Romance', 'url': '/genre/10749-romance/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
R,"{'name': 'Sam Taylor-Johnson', 'url': '/person/1137903-sam-taylor-johnson'}","[{'name': 'Dakota Johnson', 'url': '/person/118545-dakota-johnson'}, {'name': 'Jamie Dornan', 'url': '/person/1254583-jamie-dornan'}, {'name': 'Jennifer Ehle', 'url': '/person/49971-jennifer-ehle'}, {'name': 'Eloise Mumford', 'url': '/person/222130-eloise-mumford'}, {'name': 'Victor Rasuk', 'url': '/person/59251-victor-rasuk'}, {'name': 'Luke Grimes', 'url': '/person/56680-luke-grimes'}, {'name': 'Marcia Gay Harden', 'url': '/person/4726-marcia-gay-harden'}, {'name': 'Rita Ora', 'url': '/person/1089873-rita-ora'}]","$4,000,000.00","[{'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Romance', 'url': '/genre/10749-romance/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}]"
R,"{'name': 'Todd Phillips', 'url': '/person/57130-todd-phillips'}","[{'name': 'Joaquin Phoenix', 'url': '/person/73421-joaquin-phoenix'}, {'name': 'Robert De Niro', 'url': '/person/380-robert-de-niro'}, {'name': 'Zazie Beetz', 'url': '/person/1545693-zazie-beetz'}, {'name': 'Frances Conroy', 'url': '/person/4432-frances-conroy'}, {'name': 'Brett Cullen', 'url': '/person/16841-brett-cullen'}, {'name': 'Shea Whigham', 'url': '/person/74242-shea-whigham'}, {'name': 'Bill Camp', 'url': '/person/121718-bill-camp'}, {'name': 'Glenn Fleshler', 'url': '/person/1377670-glenn-fleshler'}]","$55,000,000.00","[{'type': 'Crime', 'url': '/genre/80-crime/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
PG,"{'name': 'Irene Mecchi', 'url': '/person/56041-irene-mecchi'}","[{'name': 'Chiwetel Ejiofor', 'url': '/person/5294-chiwetel-ejiofor'}, {'name': 'John Oliver', 'url': '/person/84292-john-oliver'}, {'name': 'James Earl Jones', 'url': '/person/15152-james-earl-jones'}, {'name': 'John Kani', 'url': '/person/51878-john-kani'}, {'name': 'Alfre Woodard', 'url': '/person/1981-alfre-woodard'}, {'name': 'JD McCrary', 'url': '/person/1828695-jd-mccrary'}, {'name': 'Shahadi Wright Joseph', 'url': '/person/1915962-shahadi-wright-joseph'}, {'name': 'Penny Johnson', 'url': '/person/1218219-penny-johnson'}]","$260,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Music', 'url': '/genre/10402-music/movie'}]"
PG,"{'name': 'Hirokazu Yasuhara', 'url': '/person/2584676-hirokazu-yasuhara'}","[{'name': 'Ben Schwartz', 'url': '/person/222121-ben-schwartz'}, {'name': 'James Marsden', 'url': '/person/11006-james-marsden'}, {'name': 'Jim Carrey', 'url': '/person/206-jim-carrey'}, {'name': 'Tika Sumpter', 'url': '/person/110742-tika-sumpter'}, {'name': 'Natasha Rothwell', 'url': '/person/1546282-natasha-rothwell'}, {'name': 'Adam Pally', 'url': '/person/115974-adam-pally'}, {'name': 'Lee Majdoub', 'url': '/person/208677-lee-majdoub'}, {'name': 'Neal McDonough', 'url': '/person/2203-neal-mcdonough'}]","$85,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}]"
PG-13,"{'name': 'Taika Waititi', 'url': '/person/55934-taika-waititi'}","[{'name': 'Chris Hemsworth', 'url': '/person/74568-chris-hemsworth'}, {'name': 'Tom Hiddleston', 'url': '/person/91606-tom-hiddleston'}, {'name': 'Cate Blanchett', 'url': '/person/112-cate-blanchett'}, {'name': 'Tessa Thompson', 'url': '/person/62561-tessa-thompson'}, {'name': 'Jeff Goldblum', 'url': '/person/4785-jeff-goldblum'}, {'name': 'Idris Elba', 'url': '/person/17605-idris-elba'}, {'name': 'Karl Urban', 'url': '/person/1372-karl-urban'}, {'name': 'Mark Ruffalo', 'url': '/person/103-mark-ruffalo'}]","$180,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
R,"{'name': 'Jacob Aaron Estes', 'url': '/person/72034-jacob-aaron-estes'}","[{'name': 'David Oyelowo', 'url': '/person/35013-david-oyelowo'}, {'name': 'Storm Reid', 'url': '/person/1344344-storm-reid'}, {'name': 'Mykelti Williamson', 'url': '/person/34-mykelti-williamson'}, {'name': 'Alfred Molina', 'url': '/person/658-alfred-molina'}, {'name': 'Brian Tyree Henry', 'url': '/person/226366-brian-tyree-henry'}, {'name': 'Shinelle Azoroh', 'url': '/person/1147108-shinelle-azoroh'}, {'name': 'Byron Mann', 'url': '/person/57748-byron-mann'}, {'name': 'Omar Leyva', 'url': '/person/205349-omar-leyva'}]",-,"[{'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}, {'type': 'Crime', 'url': '/genre/80-crime/movie'}]"
PG-13,"{'name': 'Darren Lemke', 'url': '/person/582919-darren-lemke'}","[{'name': 'Will Smith', 'url': '/person/2888-will-smith'}, {'name': 'Mary Elizabeth Winstead', 'url': '/person/17628-mary-elizabeth-winstead'}, {'name': 'Clive Owen', 'url': '/person/2296-clive-owen'}, {'name': 'Benedict Wong', 'url': '/person/30082-benedict-wong'}, {'name': 'Douglas Hodge', 'url': '/person/80149-douglas-hodge'}, {'name': 'Ralph Brown', 'url': '/person/53916-ralph-brown'}, {'name': 'Linda Emond', 'url': '/person/58643-linda-emond'}, {'name': 'Ilia Volok', 'url': '/person/109667-ilia-volok'}]","$138,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}]"
G,"{'name': 'Josh Cooley', 'url': '/person/84496-josh-cooley'}","[{'name': 'Tom Hanks', 'url': '/person/31-tom-hanks'}, {'name': 'Tim Allen', 'url': '/person/12898-tim-allen'}, {'name': 'Annie Potts', 'url': '/person/8873-annie-potts'}, {'name': 'Tony Hale', 'url': '/person/25147-tony-hale'}, {'name': 'Keegan-Michael Key', 'url': '/person/298410-keegan-michael-key'}, {'name': 'Madeleine McGraw', 'url': '/person/1530558-madeleine-mcgraw'}, {'name': 'Christina Hendricks', 'url': '/person/110014-christina-hendricks'}, {'name': 'Jordan Peele', 'url': '/person/291263-jordan-peele'}]","$175,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
R,"{'name': 'Fabian Nicieza', 'url': '/person/1222480-fabian-nicieza'}","[{'name': 'Ryan Reynolds', 'url': '/person/10859-ryan-reynolds'}, {'name': 'Josh Brolin', 'url': '/person/16851-josh-brolin'}, {'name': 'Morena Baccarin', 'url': '/person/54882-morena-baccarin'}, {'name': 'Julian Dennison', 'url': '/person/1139349-julian-dennison'}, {'name': 'Zazie Beetz', 'url': '/person/1545693-zazie-beetz'}, {'name': 'T. J. Miller', 'url': '/person/51990-t-j-miller'}, {'name': 'Leslie Uggams', 'url': '/person/122750-leslie-uggams'}, {'name': 'Karan Soni', 'url': '/person/1109702-karan-soni'}]","$110,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}]"
PG-13,"{'name': 'Jon Watts', 'url': '/person/1293994-jon-watts'}","[{'name': 'Tom Holland', 'url': '/person/1136406-tom-holland'}, {'name': 'Samuel L. Jackson', 'url': '/person/2231-samuel-l-jackson'}, {'name': 'Jake Gyllenhaal', 'url': '/person/131-jake-gyllenhaal'}, {'name': 'Marisa Tomei', 'url': '/person/3141-marisa-tomei'}, {'name': 'Jon Favreau', 'url': '/person/15277-jon-favreau'}, {'name': 'Zendaya', 'url': '/person/505710-zendaya'}, {'name': 'Jacob Batalon', 'url': '/person/1649152-jacob-batalon'}, {'name': 'Tony Revolori', 'url': '/person/1291350-tony-revolori'}]","$160,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
R,"{'name': 'Andy Muschietti', 'url': '/person/1113116-andy-muschietti'}","[{'name': 'Bill Skarsgård', 'url': '/person/137905-bill-skarsgard'}, {'name': 'Jessica Chastain', 'url': '/person/83002-jessica-chastain'}, {'name': 'Bill Hader', 'url': '/person/19278-bill-hader'}, {'name': 'James McAvoy', 'url': '/person/5530-james-mcavoy'}, {'name': 'Isaiah Mustafa', 'url': '/person/1237603-isaiah-mustafa'}, {'name': 'Jay Ryan', 'url': '/person/223901-jay-ryan'}, {'name': 'James Ransone', 'url': '/person/5296-james-ransone'}, {'name': 'Andy Bean', 'url': '/person/1330888-andy-bean'}]","$79,000,000.00","[{'type': 'Horror', 'url': '/genre/27-horror/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
PG-13,"{'name': 'George Lucas', 'url': '/person/1-george-lucas'}","[{'name': 'Alden Ehrenreich', 'url': '/person/71375-alden-ehrenreich'}, {'name': 'Joonas Suotamo', 'url': '/person/1709041-joonas-suotamo'}, {'name': 'Woody Harrelson', 'url': '/person/57755-woody-harrelson'}, {'name': 'Emilia Clarke', 'url': '/person/1223786-emilia-clarke'}, {'name': 'Donald Glover', 'url': '/person/119589-donald-glover'}, {'name': 'Thandie Newton', 'url': '/person/9030-thandie-newton'}, {'name': 'Phoebe Waller-Bridge', 'url': '/person/1023483-phoebe-waller-bridge'}, {'name': 'Paul Bettany', 'url': '/person/6162-paul-bettany'}]","$250,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
PG-13,"{'name': 'Gary Scott Thompson', 'url': '/person/8162-gary-scott-thompson'}","[{'name': 'Vin Diesel', 'url': '/person/12835-vin-diesel'}, {'name': 'Sung Kang', 'url': '/person/61697-sung-kang'}]",-,"[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}]"
R,"{'name': 'Quentin Tarantino', 'url': '/person/138-quentin-tarantino'}","[{'name': 'Leonardo DiCaprio', 'url': '/person/6193-leonardo-dicaprio'}, {'name': 'Brad Pitt', 'url': '/person/287-brad-pitt'}, {'name': 'Margot Robbie', 'url': '/person/234352-margot-robbie'}, {'name': 'Emile Hirsch', 'url': '/person/46593-emile-hirsch'}, {'name': 'Margaret Qualley', 'url': '/person/1392137-margaret-qualley'}, {'name': 'Timothy Olyphant', 'url': '/person/18082-timothy-olyphant'}, {'name': 'Julia Butters', 'url': '/person/1651362-julia-butters'}, {'name': 'Austin Butler', 'url': '/person/86654-austin-butler'}]","$95,000,000.00","[{'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}]"
PG-13,"{'name': 'Joe Russo', 'url': '/person/19272-joe-russo'}","[{'name': 'Robert Downey Jr.', 'url': '/person/3223-robert-downey-jr'}, {'name': 'Chris Hemsworth', 'url': '/person/74568-chris-hemsworth'}, {'name': 'Chris Evans', 'url': '/person/16828-chris-evans'}, {'name': 'Scarlett Johansson', 'url': '/person/1245-scarlett-johansson'}, {'name': 'Benedict Cumberbatch', 'url': '/person/71580-benedict-cumberbatch'}, {'name': 'Tom Holland', 'url': '/person/1136406-tom-holland'}, {'name': 'Chadwick Boseman', 'url': '/person/172069-chadwick-boseman'}, {'name': 'Don Cheadle', 'url': '/person/1896-don-cheadle'}]","$300,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
PG,"{'name': 'Chris Sanders', 'url': '/person/66193-chris-sanders'}","[{'name': 'Harrison Ford', 'url': '/person/3-harrison-ford'}, {'name': 'Dan Stevens', 'url': '/person/221018-dan-stevens'}, {'name': 'Colin Woodell', 'url': '/person/1660946-colin-woodell'}, {'name': 'Karen Gillan', 'url': '/person/543261-karen-gillan'}, {'name': 'Omar Sy', 'url': '/person/78423-omar-sy'}, {'name': 'Raven Scott', 'url': '/person/2477008-raven-scott'}, {'name': 'Wes Brown', 'url': '/person/589182-wes-brown'}, {'name': 'Cara Gee', 'url': '/person/1197122-cara-gee'}]","$109,000,000.00","[{'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}]"
PG-13,"{'name': 'Jeff Wadlow', 'url': '/person/55075-jeff-wadlow'}","[{'name': 'Michael Peña', 'url': '/person/454-michael-pena'}, {'name': 'Maggie Q', 'url': '/person/21045-maggie-q'}, {'name': 'Lucy Hale', 'url': '/person/205307-lucy-hale'}, {'name': 'Austin Stowell', 'url': '/person/970216-austin-stowell'}, {'name': 'Jimmy O. Yang', 'url': '/person/1468779-jimmy-o-yang'}, {'name': 'Portia Doubleday', 'url': '/person/117669-portia-doubleday'}, {'name': 'Ryan Hansen', 'url': '/person/78433-ryan-hansen'}, {'name': 'Michael Rooker', 'url': '/person/12132-michael-rooker'}]","$7,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}, {'type': 'Horror', 'url': '/genre/27-horror/movie'}, {'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}]"
PG,"{'name': 'Greta Gerwig', 'url': '/person/45400-greta-gerwig'}","[{'name': 'Saoirse Ronan', 'url': '/person/36592-saoirse-ronan'}, {'name': 'Florence Pugh', 'url': '/person/1373737-florence-pugh'}, {'name': 'Emma Watson', 'url': '/person/10990-emma-watson'}, {'name': 'Eliza Scanlen', 'url': '/person/1669125-eliza-scanlen'}, {'name': 'Laura Dern', 'url': '/person/4784-laura-dern'}, {'name': 'Timothée Chalamet', 'url': '/person/1190668-timothee-chalamet'}, {'name': 'Meryl Streep', 'url': '/person/5064-meryl-streep'}, {'name': 'Tracy Letts', 'url': '/person/72638-tracy-letts'}]","$40,000,000.00","[{'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Romance', 'url': '/genre/10749-romance/movie'}]"
PG,"{'name': 'Marielle Heller', 'url': '/person/177532-marielle-heller'}","[{'name': 'Tom Hanks', 'url': '/person/31-tom-hanks'}, {'name': 'Matthew Rhys', 'url': '/person/29528-matthew-rhys'}, {'name': 'Chris Cooper', 'url': '/person/2955-chris-cooper'}, {'name': 'Susan Kelechi Watson', 'url': '/person/155228-susan-kelechi-watson'}, {'name': 'Maryann Plunkett', 'url': '/person/171472-maryann-plunkett'}, {'name': 'Enrico Colantoni', 'url': '/person/15029-enrico-colantoni'}, {'name': 'Wendy Makkena', 'url': '/person/20623-wendy-makkena'}, {'name': 'Tammy Blanchard', 'url': '/person/16859-tammy-blanchard'}]","$4,000,000.00","[{'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
R,"{'name': 'Benny Safdie', 'url': '/person/227564-benny-safdie'}","[{'name': 'Adam Sandler', 'url': '/person/19292-adam-sandler'}, {'name': 'Julia Fox', 'url': '/person/2371446-julia-fox'}, {'name': 'Lakeith Stanfield', 'url': '/person/1200864-lakeith-stanfield'}, {'name': 'Idina Menzel', 'url': '/person/19394-idina-menzel'}, {'name': 'Kevin Garnett', 'url': '/person/1177652-kevin-garnett'}, {'name': 'Judd Hirsch', 'url': '/person/6167-judd-hirsch'}, {'name': 'Abel Tesfaye', 'url': '/person/1549008-abel-tesfaye'}, {'name': 'Tilda Swinton', 'url': '/person/3063-tilda-swinton'}]","$19,000,000.00","[{'type': 'Crime', 'url': '/genre/80-crime/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
TV-MA,"{'name': 'Mike Tollin', 'url': '/person/53178-mike-tollin'}","[{'name': 'Michael Jordan', 'url': '/person/23678-michael-jordan'}, {'name': 'Scottie Pippen', 'url': '/person/124576-scottie-pippen'}, {'name': 'Dennis Rodman', 'url': '/person/21397-dennis-rodman'}, {'name': 'Steve Kerr', 'url': '/person/1533747-steve-kerr'}, {'name': 'John Paxson', 'url': '/person/2285787-john-paxson'}, {'name': 'David Stern', 'url': '/person/1358963-david-stern'}, {'name': 'Horace Grant', 'url': '/person/2613908-horace-grant'}, {'name': 'Jerry Reinsdorf', 'url': '/person/1771340-jerry-reinsdorf'}, {'name': 'Larry Bird', 'url': '/person/23682-larry-bird'}]",Miniseries,"[{'type': 'Documentary', 'url': '/genre/99-documentary/tv'}]"
TV-14,"{'name': 'Jon Favreau', 'url': '/person/15277-jon-favreau'}","[{'name': 'Pedro Pascal', 'url': '/person/1253360-pedro-pascal'}, {'name': 'Nick Nolte', 'url': '/person/1733-nick-nolte'}, {'name': 'Rio Hackford', 'url': '/person/62787-rio-hackford'}, {'name': 'Misty Rosas', 'url': '/person/95747-misty-rosas'}, {'name': 'Taika Waititi', 'url': '/person/55934-taika-waititi'}, {'name': 'Gina Carano', 'url': '/person/78452-gina-carano'}, {'name': 'Emily Swallow', 'url': '/person/1256020-emily-swallow'}, {'name': 'Dominic Pace', 'url': '/person/1215981-dominic-pace'}, {'name': 'Alexandra Manea', 'url': '/person/2477245-alexandra-manea'}]",Scripted,"[{'type': 'Sci-Fi & Fantasy', 'url': '/genre/10765-sci-fi-fantasy/tv'}, {'type': 'Action & Adventure', 'url': '/genre/10759-action-adventure/tv'}, {'type': 'Western', 'url': '/genre/37-western/tv'}]"
TV-MA,"{'name': 'Sam Levinson', 'url': '/person/96172-sam-levinson'}","[{'name': 'Zendaya', 'url': '/person/505710-zendaya'}, {'name': 'Hunter Schafer', 'url': '/person/2340180-hunter-schafer'}, {'name': 'Jacob Elordi', 'url': '/person/2034418-jacob-elordi'}, {'name': 'Barbie Ferreira', 'url': '/person/2340185-barbie-ferreira'}, {'name': 'Maude Apatow', 'url': '/person/41090-maude-apatow'}, {'name': 'Eric Dane', 'url': '/person/58115-eric-dane'}, {'name': 'Angus Cloud', 'url': '/person/2352372-angus-cloud'}, {'name': 'Alexa Demie', 'url': '/person/1497557-alexa-demie'}, {'name': 'Nika King', 'url': '/person/2330171-nika-king'}]",Scripted,"[{'type': 'Drama', 'url': '/genre/18-drama/tv'}]"
TV-MA,"{'name': 'Damon Lindelof', 'url': '/person/28974-damon-lindelof'}","[{'name': 'Regina King', 'url': '/person/9788-regina-king'}, {'name': 'Yahya Abdul-Mateen II', 'url': '/person/1639847-yahya-abdul-mateen-ii'}, {'name': 'Jeremy Irons', 'url': '/person/16940-jeremy-irons'}, {'name': 'Tom Mison', 'url': '/person/75073-tom-mison'}, {'name': 'Sara Vickers', 'url': '/person/1447224-sara-vickers'}, {'name': 'Louis Gossett Jr.', 'url': '/person/20959-louis-gossett-jr'}, {'name': 'Andrew Howard', 'url': '/person/67206-andrew-howard'}, {'name': 'Adelynn Spoon', 'url': '/person/2437734-adelynn-spoon'}, {'name': 'Lily Rose Smith', 'url': '/person/2437733-lily-rose-smith'}]",Miniseries,"[{'type': 'Crime', 'url': '/genre/80-crime/tv'}, {'type': 'Drama', 'url': '/genre/18-drama/tv'}, {'type': 'Action & Adventure', 'url': '/genre/10759-action-adventure/tv'}, {'type': 'Sci-Fi & Fantasy', 'url': '/genre/10765-sci-fi-fantasy/tv'}]"
